epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/l1_loss,train/rle_loss,train/structure_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),metrics/normalized_MRE(P),metrics/PCK@1%(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/l1_loss,val/rle_loss,val/structure_loss,lr/pg0,lr/pg1,lr/pg2
81,6714.43,0.18833,0.04416,0.00181,0.06548,0.00447,0,0.00243,0.99969,0.99983,0.995,0.95856,0.9952,0.99533,0.99408,0.99007,0.27602,0.98724,0.26186,0.09554,0.00014,0.0829,0.00559,0,0.00294,0.000104,0.000104,0.000104
82,6767.51,0.18392,0.05846,0.00217,0.06014,0.00436,0,0.00251,0.9963,0.99803,0.995,0.96106,0.99179,0.9937,0.9938,0.98929,0.27602,0.98731,0.25428,0.09538,0.00013,0.08591,0.00546,0,0.00294,9.905e-05,9.905e-05,9.905e-05
83,6819.36,0.18088,0.04623,0.00115,0.06314,0.00427,0,0.00251,0.99975,0.99835,0.995,0.95438,0.99525,0.99386,0.99391,0.98969,0.27663,0.98731,0.27136,0.09576,0.00012,0.08652,0.00579,0,0.00294,9.41e-05,9.41e-05,9.41e-05
84,6869.71,0.16945,0.04494,0.00175,0.05923,0.00406,0,0.00247,0.99903,0.999,0.995,0.95997,0.99453,0.99451,0.99387,0.99012,0.27463,0.98769,0.2583,0.09491,0.00013,0.08285,0.00552,0,0.00293,8.915e-05,8.915e-05,8.915e-05
85,6922.79,0.17967,0.04677,0.0019,0.06336,0.00426,0,0.00257,0.99957,0.99814,0.995,0.96229,0.99559,0.99351,0.99394,0.99026,0.27511,0.98754,0.25461,0.09513,0.00012,0.08374,0.00546,0,0.00293,8.42e-05,8.42e-05,8.42e-05
86,6973.09,0.17598,0.04507,0.00074,0.06089,0.00413,0,0.00247,0.99859,0.99971,0.995,0.96049,0.9941,0.99522,0.99409,0.99096,0.27426,0.98806,0.25568,0.09414,0.00013,0.08277,0.00546,0,0.00292,7.925e-05,7.925e-05,7.925e-05
87,7022.61,0.17597,0.04709,0.00085,0.05968,0.00413,0,0.00255,0.99749,0.99459,0.99497,0.96125,0.99043,0.993,0.99387,0.99017,0.28483,0.98656,0.24812,0.09383,0.00012,0.08426,0.00532,0,0.00292,7.43e-05,7.43e-05,7.43e-05
88,7074.89,0.1702,0.04336,0.00067,0.05923,0.00404,0,0.00246,0.99991,0.99597,0.995,0.95968,0.99616,0.99153,0.99419,0.99048,0.27244,0.98776,0.2558,0.09377,0.00012,0.08425,0.00548,0,0.0029,6.935e-05,6.935e-05,6.935e-05
89,7126.19,0.16832,0.04316,0.00193,0.05933,0.00402,0,0.00241,0.99833,0.99974,0.995,0.96178,0.99384,0.99525,0.9944,0.99072,0.272,0.98739,0.25334,0.09372,0.00012,0.08212,0.00542,0,0.00289,6.44e-05,6.44e-05,6.44e-05
90,7176.96,0.17159,0.04397,0.00132,0.05946,0.00408,0,0.00245,0.99988,0.99987,0.995,0.96251,0.99538,0.99537,0.99374,0.99007,0.27209,0.98791,0.24999,0.09355,0.00012,0.08003,0.00534,0,0.00289,5.945e-05,5.945e-05,5.945e-05
91,7226.85,0.17713,0.0741,0.00086,0.06031,0.00425,0,0.00255,0.9965,0.99617,0.99497,0.96169,0.992,0.99175,0.99364,0.98997,0.27179,0.98791,0.24872,0.09336,0.00012,0.0835,0.00533,0,0.00288,5.45e-05,5.45e-05,5.45e-05
92,7278.27,0.17059,0.07159,0.00058,0.06198,0.0041,0,0.00252,0.99926,0.9975,0.995,0.96332,0.99475,0.993,0.99376,0.99007,0.27128,0.98754,0.24908,0.09318,0.00013,0.08054,0.00534,0,0.00288,4.955e-05,4.955e-05,4.955e-05
